"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","81","85","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.7843988908209961","0.7754597728174841","""-1869764417""","1027.968","1027.968","1027.968","0","1027.968"
"1","82","85","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.7843988908209961","0.7754597728174841","""-1596146105""","1027.904","1027.904","1027.904","0","1027.904"
"1","83","85","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.7843988908209961","0.7754597728174841","""-1627059668""","1028.77","1028.77","1028.77","0","1028.77"
"1","84","85","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.7843988908209961","0.7754597728174841","""-1712518561""","1027.298","1027.298","1027.298","0","1027.298"
"1","85","85","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7905007173176437","0.7843988908209961","0.7754597728174841","""-518644410""","1028.259","1028.259","1028.259","0","1028.259"
"1","86","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","""459720623""","1028.105","1028.105","1028.105","0","1028.105"
"1","87","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","""1695428935""","27.954","27.954","27.954","0","27.954"
"1","88","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","""656623139""","1027.679","1027.679","1027.679","0","1027.679"
"1","89","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","""1284171463""","1027.555","1027.555","1027.555","0","1027.555"
"1","90","90","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.7754597728174841","""932075276""","28.272000000000002","28.272000000000002","28.272000000000002","0","28.272000000000002"
"1","91","95","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.8173060208210079","""740139105""","1029.282","1029.282","1029.282","0","1029.282"
"1","92","95","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.8173060208210079","""-288322603""","28.125","28.125","28.125","0","28.125"
"1","93","95","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.8173060208210079","""-616638903""","1027.739","1027.739","1027.739","0","1027.739"
"1","94","95","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.8173060208210079","""-402189528""","1028.277","1028.277","1028.277","0","1028.277"
"1","95","95","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8134387194703392","0.7843988908209961","0.8173060208210079","""1727859684""","1028.597","1028.597","1028.597","0","1028.597"
"1","96","100","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8148241408906713","0.7660478348037684","0.8173060208210079","""857154035""","1028.48","1028.48","1028.48","0","1028.48"
"1","97","100","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8148241408906713","0.7660478348037684","0.8173060208210079","""-533356497""","1028.319","1028.319","1028.319","0","1028.319"
"1","98","100","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8148241408906713","0.7660478348037684","0.8173060208210079","""-848069506""","28.663","28.663","28.663","0","28.663"
"1","99","100","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8148241408906713","0.7660478348037684","0.8173060208210079","""978898236""","28.82","28.82","28.82","0","28.82"
"1","100","100","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8148241408906713","0.7660478348037684","0.8173060208210079","""1198490379""","1028.133","1028.133","1028.133","0","1028.133"
"1","101","105","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.7660478348037684","0.8173060208210079","""1047514414""","1028.887","1028.887","1028.887","0","1028.887"
"1","102","105","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.7660478348037684","0.8173060208210079","""1786599245""","1027.524","1027.524","1027.524","0","1027.524"
"1","103","105","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.7660478348037684","0.8173060208210079","""-58625854""","1028.704","1028.704","1028.704","0","1028.704"
"1","104","105","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.7660478348037684","0.8173060208210079","""-845342168""","1029.018","1029.018","1029.018","0","1029.018"
"1","105","105","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.7660478348037684","0.8173060208210079","""-2021452210""","1028.548","1028.548","1028.548","0","1028.548"
"1","106","110","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.8208970202660044","0.8173060208210079","""1848201691""","28.378999999999998","28.378999999999998","28.378999999999998","0","28.378999999999998"
"1","107","110","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.8208970202660044","0.8173060208210079","""647643473""","29.115000000000002","29.115000000000002","29.115000000000002","0","29.115000000000002"
"1","108","110","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.8208970202660044","0.8173060208210079","""704234084""","1028.371","1028.371","1028.371","0","1028.371"
